YKR_ID,ASUKKAITA
5787548,10
5791356,13
5795168,11
5797074,33
5797075,27
5798980,37
5798981,7
5800884,6
5800886,7
5800892,6
5802787,10
5804697,14
5804698,16
5804699,17
5804700,11
5806594,35
5806601,6
5806602,6
5806603,11
5808497,35
5808498,19
5808505,9
5808507,9
5808508,25
5808509,11
5808514,7
5810401,6
5810409,27
5810411,8
5810412,29
5810413,16
5810414,7
5810418,9
5812310,11
5812311,10
5812312,31
5812313,19
5812314,17
5812315,37
5812316,9
5812361,7
5812363,156
5812364,33
5812365,33
5814215,28
5814216,10
5814220,5
5814262,20
5814264,174
5814265,24
5816114,7
5816115,13
5816119,5
5816159,5
5816160,34
5816161,32
5816162,21
5816163,312
5816164,20
5816165,28
5816166,11
5816167,18
5818007,5
5818011,7
5818012,6
5818013,6
5818026,7
5818027,9
5818053,27
5818054,45
5818058,5
5818059,74
5818060,66
5818062,61
5818063,257
5818064,61
5818065,36
5818066,19
5818067,152
5818068,97
5819868,39
5819871,8
5819874,7
5819898,8
5819903,9
5819904,8
5819906,5
5819909,5
5819910,10
5819923,41
5819924,39
5819950,28
5819951,110
5819952,50
5819956,40
5819957,55
5819958,49
5819959,33
5819960,61
5819963,136
5819964,159
5819965,169
5819966,61
5821764,32
5821793,14
5821794,35
5821795,14
5821808,5
5821811,9
5821819,28
5821820,28
5821847,93
5821848,83
5821849,19
5821851,42
5821853,76
5821854,79
5821855,141
5821856,35
5821858,8
5821859,115
5821860,93
5821861,160
5821862,126
5823658,23
5823700,41
5823702,6
5823703,16
5823705,5
5823709,14
5823710,8
5823712,5
5823742,75
5823743,83
5823744,57
5823745,79
5823746,68
5823747,129
5823748,120
5823749,16
5823750,109
5823752,76
5823753,286
5823754,168
5823755,140
5823756,182
5823757,76
5823760,23
5823762,44
5823763,36
5823764,35
5823765,11
5823766,57
5823767,7
5825550,9
5825559,5
5825560,6
5825580,10
5825591,8
5825592,9
5825593,7
5825599,6
5825602,13
5825634,12
5825635,97
5825636,145
5825637,232
5825638,138
5825639,165
5825640,248
5825642,66
5825644,9
5825645,69
5825646,118
5825647,50
5825649,77
5825652,9
5825654,92
5825655,78
5825656,84
5825657,86
5825658,87
5827442,25
5827472,7
5827473,6
5827482,7
5827483,26
5827484,16
5827485,7
5827487,8
5827488,10
5827489,19
5827490,30
5827491,7
5827492,6
5827494,25
5827495,9
5827496,12
5827497,7
5827527,47
5827528,105
5827529,70
5827530,183
5827531,148
5827532,362
5827533,99
5827534,256
5827535,162
5827537,263
5827538,58
5827542,8
5827543,72
5827544,6
5827546,89
5827547,111
5827548,47
5827549,58
5829342,9
5829347,6
5829348,11
5829349,8
5829357,8
5829365,8
5829371,13
5829372,14
5829374,8
5829375,8
5829376,31
5829377,27
5829378,20
5829379,8
5829380,12
5829381,52
5829418,62
5829419,142
5829420,164
5829421,129
5829422,248
5829423,232
5831312,232
5829424,279
5829425,326
5829426,256
5829427,200
5829428,140
5829429,39
5829430,77
5829431,110
5829432,61
5829433,128
5829434,82
5829436,75
5829437,45
5829438,9
5831231,27
5831235,5
5831236,11
5831253,15
5831254,5
5831260,9
5831261,6
5831267,6
5831269,88
5831270,11
5831271,5
5831272,8
5831307,46
5831308,86
5831309,110
5831310,152
5831311,137
5831313,221
5831314,382
5831315,522
5831316,272
5831317,173
5831318,112
5831319,187
5831320,152
5831321,73
5831322,138
5831323,66
5831325,21
5831326,109
5833106,5
5833117,19
5833118,25
5833119,13
5833134,5
5833135,6
5833145,34
5833146,52
5833153,9
5833155,90
5833156,12
5833163,7
5833164,22
5833165,8
5833166,8
5833194,74
5833195,287
5833196,392
5833197,195
5833198,124
5833199,152
5833200,367
5833201,611
5833202,279
5833203,118
5833204,141
5833205,113
5833206,148
5833208,127
5833209,40
5833212,149
5833213,16
5835004,31
5835005,6
5835008,5
5835026,13
5835031,11
5835037,9
5835038,8
5835039,6
5835049,9
5835050,30
5835051,24
5835052,12
5835080,15
5835081,44
5835082,251
5835083,550
5835084,189
5835085,32
5835086,157
5835087,257
5835088,445
5835089,209
5835090,182
5835091,90
5835092,101
5835093,8
5835094,63
5835095,49
5835097,45
5835098,32
5835099,140
5835100,48
5835101,51
5836889,16
5836890,11
5836891,9
5836892,11
5836900,16
5836901,28
5836910,6
5836911,17
5836912,16
5836914,16
5836917,15
5836918,27
5836922,7
5836923,8
5836936,5
5836939,6
5836970,82
5836971,126
5836972,134
5836973,120
5836974,198
5836975,359
5836976,170
5836979,53
5836980,68
5836981,54
5836982,85
5836983,109
5836984,78
5836985,99
5836986,146
5838774,8
5838782,6
5838785,18
5838786,23
5838791,13
5838792,6
5838794,5
5838799,8
5838802,36
5838807,8
5838808,39
5838809,9
5838843,37
5838844,37
5838850,14
5838854,159
5838855,140
5838856,132
5838857,114
5838858,8
5838859,454
5838860,609
5838861,52
5838863,147
5838864,76
5838865,12
5838866,97
5838867,149
5838868,58
5838869,109
5838870,49
5838871,43
5840655,6
5840664,7
5840667,15
5840668,22
5840669,11
5840671,16
5840673,8
5840675,8
5840683,5
5840689,14
5840690,19
5840723,32
5840724,82
5840725,317
5840726,144
5840727,18
5840731,7
5840732,133
5840733,125
5840734,126
5840736,82
5840737,77
5840738,88
5840739,41
5840740,144
5840741,335
5840742,323
5840743,218
5840745,66
5840748,64
5840749,221
5840750,161
5840751,20
5840752,64
5840753,53
5842522,9
5842537,7
5842538,11
5842545,14
5842546,37
5842547,33
5842548,16
5842549,5
5842563,14
5842566,72
5842567,78
5842568,79
5842569,53
5842570,30
5842601,19
5842602,77
5842603,114
5842604,214
5842605,229
5842606,212
5842607,29
5842611,102
5842612,234
5842613,145
5842614,260
5842615,113
5842619,40
5842620,148
5842621,82
5842622,292
5842623,157
5842627,35
5842628,114
5842629,52
5842630,82
5842631,42
5842632,13
5844370,6
5844416,38
5844417,17
5844425,8
5844426,9
5844427,17
5844440,5
5844442,41
5844443,19
5844444,88
5844445,154
5844446,99
5844447,117
5844448,139
5844449,49
5844451,15
5844452,10
5844479,82
5844480,90
5844481,179
5844482,95
5844483,143
5844484,85
5844486,16
5844490,414
5844491,138
5844492,103
5844493,331
5844494,113
5844495,108
5844496,45
5844498,133
5844499,29
5844506,22
5844507,72
5844508,30
5844509,45
5844510,6
5846273,7
5846278,6
5846294,70
5846295,86
5846315,9
5846320,46
5846321,113
5846322,142
5846323,130
5846324,159
5846325,85
5846326,43
5846327,39
5846328,52
5846329,34
5846357,42
5846358,104
5846359,89
5846360,101
5846361,136
5846362,203
5846363,216
5846364,83
5846367,35
5846368,177
5846369,170
5846370,11
5846371,345
5846372,77
5846373,124
5846374,107
5846375,86
5846376,95
5846379,66
5846380,98
5846381,10
5848124,9
5848155,7
5848156,6
5848169,24
5848170,58
5848171,48
5848172,5
5848191,7
5848193,5
5848196,64
5848197,90
5848198,336
5848199,151
5848200,116
5848201,155
5848202,38
5848203,118
5848204,71
5848205,34
5848206,13
5848234,40
5848235,134
5848236,133
5848237,46
5848238,98
5848239,118
5848240,127
5848244,81
5848245,129
5848246,116
5848247,563
5848248,60
5848249,135
5848250,90
5848251,177
5848252,132
5848253,102
5848254,12
5848255,53
5848256,101
5848257,111
5848258,124
5850030,11
5850031,5
5850044,23
5850045,75
5850046,46
5850049,32
5850050,14
5850066,10
5850071,12
5850072,81
5850073,88
5850074,159
5850075,269
5850076,129
5850077,59
5850081,6
5850110,58
5850111,139
5850112,279
5850113,166
5850114,125
5850116,91
5850117,235
5850118,129
5850119,275
5850120,197
5850121,72
5850122,112
5850123,219
5850124,99
5850125,128
5850126,134
5850127,126
5850128,54
5850129,28
5850130,92
5850131,138
5850132,136
5850133,129
5850134,46
5851920,5
5851922,27
5851923,31
5851930,6
5851940,13
5851946,64
5851947,127
5851948,106
5851949,92
5851950,340
5851951,394
5851953,17
5851954,77
5851955,95
5851956,85
5851957,32
5851958,10
5851983,28
5851984,21
5851985,73
5851986,75
5851990,361
5851991,517
5851992,427
5851993,107
5851994,535
5851995,112
5851996,103
5851997,1387
5851998,309
5851999,56
5852000,139
5852001,152
5852002,61
5852003,101
5852004,100
5852005,58
5852006,119
5852007,140
5852008,60
5853753,5
5853818,466
5853819,17
5853820,101
5853821,69
5853822,560
5853823,276
5853826,14
5853827,69
5853828,6
5853829,46
5853830,108
5853831,39
5853856,93
5853857,108
5853858,191
5853859,213
5853860,30
5853863,124
5853864,224
5853865,207
5853866,104
5853867,443
5853868,314
5853869,697
5853870,963
5853871,519
5853872,827
5853873,446
5853874,96
5853875,45
5853876,141
5853877,82
5853878,18
5853879,103
5853880,202
5853881,13
5855665,9
5855666,21
5855690,51
5855691,303
5855692,26
5855694,692
5855695,136
5855728,175
5855729,177
5855730,201
5855731,127
5855732,58
5855736,113
5855737,229
5855738,109
5855740,56
5855741,218
5855742,380
5855743,166
5855744,779
5855745,455
5855746,31
5855747,90
5855748,107
5855749,100
5855750,39
5855751,158
5855752,99
5855753,19
5855755,9
5857494,5
5857533,17
5857537,20
5857544,15
5857545,8
5857569,5
5857571,10
5857598,200
5857599,230
5857600,137
5857601,83
5857603,138
5857606,388
5857607,9
5857608,40
5857614,377
5857615,34
5857617,82
5857618,247
5857619,203
5857620,69
5857621,79
5857622,23
5857623,7
5857624,18
5857625,8
5857626,8
5859399,6
5859400,10
5859401,7
5859405,35
5859406,19
5859410,5
5859411,35
5859412,9
5859413,6
5859437,9
5859466,149
5859467,208
5859468,222
5859469,225
5859470,112
5859471,531
5859472,193
5859473,428
5859474,685
5859475,269
5859482,146
5859483,141
5859485,24
5859486,44
5859487,67
5859488,220
5859489,38
5859491,9
5859492,10
5859493,21
5861266,19
5861271,15
5861272,23
5861273,10
5861277,10
5861278,39
5861279,28
5861280,22
5861292,5
5861308,7
5861333,151
5861334,129
5861335,233
5861336,124
5861337,70
5861338,394
5861339,174
5861340,382
5861341,346
5861342,417
5861343,335
5861348,5
5861349,6
5861350,44
5863132,9
5863137,10
5863138,19
5863139,14
5863140,23
5863141,85
5863142,153
5863143,21
5863144,19
5863145,37
5863146,43
5863147,35
5863168,5
5863169,11
5863199,172
5863200,195
5863201,130
5863202,17
5863203,190
5863204,193
5863205,140
5863206,551
5863207,60
5863208,180
5863209,202
5863212,8
5863219,7
5864993,7
5865002,23
5865003,6
5865004,34
5865005,98
5865006,177
5865007,158
5865008,131
5865009,14
5865011,104
5865012,10
5865025,9
5865026,13
5865032,11
5865033,7
5865057,8
5865064,91
5865065,30
5865068,252
5865069,194
5865070,483
5865071,260
5865072,98
5865073,142
5865074,144
5865088,16
5865090,7
5865091,23
5865092,10
5866823,6
5866855,5
5866861,5
5866862,8
5866865,13
5866868,158
5866869,118
5866870,85
5866871,128
5866872,63
5866873,21
5866874,21
5866875,5
5866876,15
5866888,31
5866889,54
5866890,44
5866893,7
5866894,118
5866895,16
5866896,108
5866926,5
5866931,561
5866932,290
5866933,158
5866934,174
5866935,262
5866936,181
5866937,330
5866951,59
5866952,53
5866953,84
5866954,72
5868685,5
5868718,15
5868720,10
5868721,15
5868722,11
5868723,6
5868730,42
5868731,37
5868732,60
5868733,84
5868734,62
5868735,22
5868736,79
5868738,25
5868741,5
5868742,7
5868752,35
5868756,105
5868757,131
5868760,7
5868763,8
5868784,7
5868786,11
5868788,10
5868790,6
5868793,233
5868794,161
5868795,206
5868796,179
5868797,249
5868798,418
5868799,270
5868800,55
5868803,39
5868812,6
5868813,48
5868814,71
5868815,109
5868816,88
5870547,11
5870552,5
5870580,12
5870582,6
5870588,16
5870590,15
5870591,9
5870592,27
5870599,30
5870602,16
5870603,30
5870615,56
5870617,119
5870618,120
5870643,208
5870644,183
5870648,21
5870649,24
5870650,153
5870653,44
5870654,55
5870655,216
5870656,159
5870657,233
5870658,453
5870659,443
5870660,225
5870661,98
5870662,16
5870663,152
5870664,98
5870666,7
5870673,8
5870674,59
5870675,85
5870676,54
5870677,85
5870678,5
5872439,6
5872452,24
5872453,15
5872455,14
5872456,7
5872462,16
5872463,7
5872477,6
5872478,25
5872483,6
5872490,9
5872509,65
5872510,85
5872511,36
5872513,126
5872514,227
5872515,94
5872517,186
5872518,432
5872519,376
5872520,55
5872521,193
5872522,241
5872523,769
5872524,500
5872534,254
5872535,88
5872536,59
5872537,31
5872538,23
5872540,20
5874259,11
5874260,5
5874306,15
5874307,20
5874310,14
5874311,37
5874313,35
5874314,11
5874335,7
5874337,6
5874342,25
5874343,36
5874344,14
5874346,5
5874360,5
5874367,57
5874368,113
5874369,102
5874370,66
5874371,243
5874372,264
5874373,213
5874374,309
5874375,373
5874376,342
5874377,894
5874378,130
5874379,458
5874380,195
5874381,496
5874382,126
5874383,190
5874384,177
5874392,289
5874393,22
5874394,105
5874395,69
5874396,70
5874398,27
5874399,16
5876115,6
5876120,6
5876152,22
5876161,24
5876162,33
5876163,110
5876165,85
5876166,19
5876167,6
5876168,171
5876169,83
5876175,21
5876176,47
5876190,6
5876195,36
5876199,11
5876200,21
5876205,25
5876210,8
5876211,41
5876212,120
5876213,94
5876221,7
5876222,57
5876223,14
5876224,51
5876225,46
5876226,151
5876227,310
5876228,489
5876229,445
5876230,219
5876231,361
5876232,222
5876233,377
5876234,159
5876235,526
5876236,153
5876237,353
5876238,237
5876239,175
5876240,57
5876246,21
5876247,87
5876248,85
5876249,66
5876250,55
5876251,115
5876252,45
5878007,17
5878008,23
5878015,5
5878016,23
5878017,34
5878018,101
5878019,16
5878020,186
5878021,58
5878022,21
5878023,72
5878024,44
5878029,10
5878030,60
5878031,57
5878032,18
5878033,13
5878046,9
5878049,69
5878050,54
5878055,6
5878059,25
5878060,12
5878065,101
5878066,338
5878067,511
5878068,227
5878078,15
5878079,19
5878080,402
5878081,159
5878082,422
5878083,223
5878084,372
5878085,471
5878086,465
5878087,385
5878088,50
5878089,892
5878091,42
5878093,340
5878094,162
5878101,44
5878102,108
5878103,128
5878104,62
5878105,90
5878106,50
5878108,25
5878111,6
5878113,7
5878131,5
5879860,7
5879861,34
5879865,5
5879868,27
5879869,51
5879870,30
5879871,38
5879872,65
5879873,111
5879874,52
5879875,66
